GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "06000","California",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1707064724,1747199538,1829296454,1902550416,1988736510,2072274126,2103014826,2110596112,2025633152,2056990380,2090836814,2144089599,2219610473,2316331183,2437366922,2519133600,2628314591,2708966927,2800505405
 "06000","California",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",79.617,81.489,85.318,88.735,92.754,96.651,98.084,98.438,94.475,95.938,97.516,100.000,103.522,108.033,113.678,117.492,122.584,126.346,130.615
 "06000","California",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1387551820,1439341677,1530559794,1632428734,1752648907,1874851315,1955320948,1990187856,1919271115,1973511854,2049336793,2144089599,2261510622,2399077700,2559643240,2671100529,2831038425,2975083022,3132800579
 "06001","Alameda, CA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",81266604,82555391,86554424,88425432,90629810,94304284,94950468,95116368,90205582,93090964,94801980,97203584,100766100,105506384,113194353,117516318,122983926,127165177,129708807
 "06001","Alameda, CA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",83.605,84.930,89.044,90.969,93.237,97.017,97.682,97.853,92.801,95.769,97.529,100.000,103.665,108.542,116.451,120.897,126.522,130.824,133.440
 "06001","Alameda, CA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",66992943,69145648,73217538,76417217,80189480,85607091,88299465,89588149,86904155,90033250,92823595,97203584,102651288,109296260,119856797,126100394,133468782,140288623,146210749
 "06003","Alpine, CA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",74997,77453,79463,77282,78186,89804,93943,88874,86028,88136,98962,98033,97738,106196,110513,108329,104377,103549,114254
 "06003","Alpine, CA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",76.502,79.007,81.058,78.833,79.755,91.605,95.828,90.657,87.754,89.905,100.948,100.000,99.699,108.327,112.730,110.503,106.471,105.626,116.546
 "06003","Alpine, CA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",57326,60721,63574,63468,67057,79973,87048,84328,82910,84889,96591,98033,100000,111008,119072,119011,116547,118241,133889
 "06005","Amador, CA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1263407,1445396,1575000,1628239,1616336,1706367,1659483,1586012,1508105,1475898,1469976,1398967,1456195,1504969,1549921,1600730,1645661,1679855,1786635
 "06005","Amador, CA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",90.310,103.319,112.583,116.389,115.538,121.973,118.622,113.370,107.801,105.499,105.076,100.000,104.091,107.577,110.790,114.422,117.634,120.078,127.711
