county_name,avg_daily_attendance_expense,year
Alameda,13194.89578845783,2019
Alpine,43008.99906002417,2019
Amador,9560.13914089174,2019
Butte,12468.193786123991,2019
Calaveras,13095.530582367297,2019
Colusa,11569.530563087525,2019
Contra Costa,12408.422335947185,2019
Del Norte,13173.885209713024,2019
El Dorado,11726.668544464257,2019
Fresno,12602.071402083311,2019
Glenn,11291.556231595663,2019
Humboldt,13329.091513397534,2019
Imperial,13117.1653575232,2019
Inyo,14139.408183001231,2019
Kern,12662.746871991274,2019
Kings,12191.963534075463,2019
Lake,13099.1515002717,2019
Lassen,11869.31760069211,2019
Los Angeles,13978.421531919364,2019
Madera,12218.180760050722,2019
Marin,15448.57362290365,2019
Mariposa,13383.923064404064,2019
Mendocino,14800.684947392188,2019
Merced,12257.662420773677,2019
Modoc,13123.303790009586,2019
Mono,15887.8883078512,2019
Monterey,12994.343277597622,2019
Napa,13739.330915013494,2019
Nevada,13184.596517479637,2019
Orange,12081.396139202108,2019
Placer,11581.412855427401,2019
Plumas,15872.744090786211,2019
Riverside,12494.680326674978,2019
Sacramento,12781.959093418265,2019
San Benito,11714.551663557531,2019
San Bernardino,12921.670042211257,2019
San Diego,12949.488539678625,2019
San Francisco,16370.558568361224,2019
San Joaquin,12659.994490068031,2019
San Luis Obispo,12225.944391839412,2019
San Mateo,14812.1883627894,2019
Santa Barbara,13259.58246788057,2019
Santa Clara,14139.61177979655,2019
Santa Cruz,14242.149368662363,2019
Shasta,13174.552838215437,2019
Sierra,15340.829801885793,2019
Siskiyou,13663.679958391815,2019
Solano,11561.576660347466,2019
Sonoma,13636.48440699296,2019
Stanislaus,12458.179971059035,2019
Sutter,12553.990871669133,2019
Tehama,12039.370380078639,2019
Trinity,16389.653954892787,2019
Tulare,12501.927632210945,2019
Tuolumne,12514.128888312845,2019
Ventura,11659.324759320307,2019
Yolo,12549.962369057974,2019
Yuba,11808.36898584401,2019
Alameda,12080.537142421312,2018
Alpine,34681.092155266015,2018
Amador,9058.300334127343,2018
Butte,11427.76102365276,2018
Calaveras,12229.001997167969,2018
Colusa,10705.885582478246,2018
Contra Costa,11715.274876764463,2018
Del Norte,11992.586178011716,2018
El Dorado,10677.986745071132,2018
Fresno,11871.884080993523,2018
Glenn,10586.418255443923,2018
Humboldt,12345.926771571487,2018
Imperial,11846.421384939724,2018
Inyo,13765.469512366695,2018
Kern,11685.589733450966,2018
Kings,11256.028520592266,2018
Lake,12359.511282688976,2018
Lassen,11072.954269748474,2018
Los Angeles,12756.987908286697,2018
Madera,11449.045808332328,2018
Marin,14061.57230018441,2018
Mariposa,12356.939638096941,2018
Mendocino,13621.79204174951,2018
Merced,11183.959290550098,2018
Modoc,12607.444533692424,2018
Mono,14899.120722595164,2018
Monterey,12204.119792961832,2018
Napa,12436.053572799517,2018
Nevada,12392.68844690737,2018
Orange,11420.147288682467,2018
Placer,10604.643212252111,2018
Plumas,14771.818505694331,2018
Riverside,11805.343134321862,2018
Sacramento,11710.38073491685,2018
San Benito,10591.11264426892,2018
San Bernardino,11752.049828558498,2018
San Diego,12025.043189442562,2018
San Francisco,14485.642207674664,2018
San Joaquin,11337.524857674432,2018
San Luis Obispo,11439.19320507955,2018
San Mateo,13589.109437872352,2018
Santa Barbara,12157.064798347197,2018
Santa Clara,12954.203333938345,2018
Santa Cruz,12993.186560923017,2018
Shasta,12274.931755388476,2018
Sierra,13907.948828574417,2018
Siskiyou,12484.526597770357,2018
Solano,10774.122336895187,2018
Sonoma,12531.727394718071,2018
Stanislaus,11257.012054288076,2018
Sutter,11503.176998934001,2018
Tehama,11303.662522821009,2018
Trinity,15090.66655935441,2018
Tulare,11311.337388764228,2018
Tuolumne,11726.826388730951,2018
Ventura,10966.403429025719,2018
Yolo,11875.638005527459,2018
Yuba,11463.031061446667,2018
Alameda,11831.849918065145,2017
Alpine,34144.98781910069,2017
