Location ID,Location,year,avg_temp,min_temp,max_temp,total_precip_amt
CA-001,Alameda County,2014,61.95000000000001,42.0,85.0,19.88
CA-001,Alameda County,2015,61.050000000000004,39.2,84.0,10.389999999999999
CA-001,Alameda County,2016,60.36666666666667,39.1,83.8,22.55
CA-001,Alameda County,2017,60.5,39.4,86.8,24.97
CA-001,Alameda County,2018,59.808333333333344,40.5,85.9,16.57
CA-001,Alameda County,2019,59.68333333333333,39.0,85.6,22.290000000000003
CA-003,Alpine County,2014,46.79999999999999,25.5,77.3,29.38
CA-003,Alpine County,2015,46.35,20.2,75.2,30.36
CA-003,Alpine County,2016,45.9,22.6,76.5,39.63000000000001
CA-003,Alpine County,2017,45.4,20.5,77.6,64.24000000000001
CA-003,Alpine County,2018,45.71666666666667,18.7,79.0,32.2
CA-003,Alpine County,2019,43.46666666666667,16.3,75.8,47.209999999999994
CA-005,Amador County,2014,60.949999999999996,38.2,93.2,31.289999999999996
CA-005,Amador County,2015,60.35,32.5,90.3,26.66
CA-005,Amador County,2016,59.23333333333333,34.6,91.9,41.01
CA-005,Amador County,2017,59.50833333333333,33.5,94.7,55.94
CA-005,Amador County,2018,59.725,35.3,95.5,34.040000000000006
CA-005,Amador County,2019,57.80833333333333,30.7,90.9,48.65
CA-007,Butte County,2014,62.43333333333334,40.3,94.5,43.72
CA-007,Butte County,2015,61.949999999999996,35.1,92.3,20.740000000000002
CA-007,Butte County,2016,60.80833333333333,35.0,93.2,55.96000000000001
CA-007,Butte County,2017,61.14166666666667,35.3,96.2,56.41
CA-007,Butte County,2018,61.03333333333334,35.6,96.4,34.51
CA-007,Butte County,2019,60.225,35.0,92.7,60.1
CA-009,Calaveras County,2014,61.13333333333333,38.2,93.6,29.560000000000002
CA-009,Calaveras County,2015,60.65,32.4,90.9,25.259999999999998
CA-009,Calaveras County,2016,59.533333333333324,34.4,92.3,40.49
CA-009,Calaveras County,2017,59.99166666666667,33.7,94.4,51.550000000000004
CA-009,Calaveras County,2018,60.008333333333326,35.2,95.8,32.629999999999995
CA-009,Calaveras County,2019,58.25000000000001,31.7,91.3,48.25
CA-011,Colusa County,2014,64.38333333333334,38.5,96.2,28.669999999999998
CA-011,Colusa County,2015,63.875,36.6,94.5,11.92
CA-011,Colusa County,2016,62.51666666666665,35.3,95.1,25.490000000000002
CA-011,Colusa County,2017,62.89166666666665,36.7,97.7,27.439999999999998
CA-011,Colusa County,2018,62.475,38.2,98.0,18.08
CA-011,Colusa County,2019,61.599999999999994,36.4,94.7,32.89
CA-013,Contra Costa County,2014,62.73333333333333,44.4,86.9,21.07
CA-013,Contra Costa County,2015,61.99166666666667,39.1,85.9,9.28
CA-013,Contra Costa County,2016,61.183333333333316,38.4,86.6,22.55
CA-013,Contra Costa County,2017,61.53333333333333,38.7,90.0,26.840000000000003
CA-013,Contra Costa County,2018,61.0,41.7,89.2,17.52
CA-013,Contra Costa County,2019,60.625,38.7,87.8,23.29
CA-015,Del Norte County,2014,54.92499999999999,37.4,84.0,67.16
CA-015,Del Norte County,2015,54.699999999999996,35.8,80.8,69.35
CA-015,Del Norte County,2016,52.866666666666674,31.9,82.3,97.59
CA-015,Del Norte County,2017,52.44166666666667,32.0,83.6,92.56
CA-015,Del Norte County,2018,52.94166666666666,32.9,82.4,54.46000000000001
CA-015,Del Norte County,2019,52.125,30.0,79.7,79.65
CA-017,El Dorado County,2014,56.66666666666666,35.4,88.2,39.91
CA-017,El Dorado County,2015,56.333333333333336,29.7,85.9,32.489999999999995
CA-017,El Dorado County,2016,55.24166666666667,31.7,86.9,53.14
CA-017,El Dorado County,2017,55.324999999999996,30.9,89.3,73.52000000000001
CA-017,El Dorado County,2018,55.40833333333334,30.5,89.7,40.29
CA-017,El Dorado County,2019,53.56666666666666,27.1,86.0,60.52
CA-019,Fresno County,2014,59.01666666666666,34.4,90.3,12.440000000000001
CA-019,Fresno County,2015,57.625,29.0,87.5,12.23
CA-019,Fresno County,2016,57.30833333333333,31.0,90.2,19.6
CA-019,Fresno County,2017,57.34166666666667,31.2,91.9,27.16
CA-019,Fresno County,2018,57.35833333333333,31.0,92.1,16.869999999999997
CA-019,Fresno County,2019,55.78333333333333,29.2,88.7,25.12
CA-021,Glenn County,2014,62.966666666666676,38.3,95.4,31.68
CA-021,Glenn County,2015,62.574999999999996,36.0,93.4,12.360000000000001
CA-021,Glenn County,2016,61.08333333333334,34.0,93.0,29.61
CA-021,Glenn County,2017,61.37499999999999,34.7,96.4,28.560000000000006
CA-021,Glenn County,2018,60.974999999999994,35.9,96.5,18.95
CA-021,Glenn County,2019,60.433333333333344,35.5,93.2,39.120000000000005
CA-023,Humboldt County,2014,56.724999999999994,35.6,84.0,54.59
CA-023,Humboldt County,2015,56.458333333333336,38.2,83.3,50.55
CA-023,Humboldt County,2016,55.80000000000001,33.6,82.6,79.86
CA-023,Humboldt County,2017,54.80833333333333,34.6,84.9,76.72
CA-023,Humboldt County,2018,54.79999999999999,34.2,83.6,48.62000000000001
CA-023,Humboldt County,2019,54.475,33.8,83.9,71.48
CA-025,Imperial County,2014,76.50833333333334,47.8,107.4,2.06
CA-025,Imperial County,2015,75.85833333333332,43.0,108.7,2.21
CA-025,Imperial County,2016,75.50833333333334,44.8,109.3,3.06
CA-025,Imperial County,2017,76.33333333333333,45.8,108.5,2.8200000000000003
CA-025,Imperial County,2018,75.33333333333333,45.6,107.9,2.0700000000000003
CA-025,Imperial County,2019,72.91666666666666,43.0,108.2,3.76
CA-027,Inyo County,2014,63.55000000000001,35.0,98.0,4.68
CA-027,Inyo County,2015,62.39166666666666,29.0,96.6,5.17
CA-027,Inyo County,2016,62.275,32.0,98.6,4.91
CA-027,Inyo County,2017,62.616666666666674,32.0,99.4,7.679999999999998
CA-027,Inyo County,2018,62.741666666666674,32.9,99.5,4.5200000000000005
CA-027,Inyo County,2019,60.01666666666666,30.2,96.5,10.000000000000002
CA-029,Kern County,2014,64.98333333333333,39.0,96.9,6.17
CA-029,Kern County,2015,63.775,32.9,95.5,5.56
CA-029,Kern County,2016,63.60833333333334,36.5,96.9,9.21
CA-029,Kern County,2017,63.80833333333333,35.2,98.2,9.679999999999998
CA-029,Kern County,2018,63.59166666666666,36.7,98.7,7.029999999999999
CA-029,Kern County,2019,61.65833333333333,34.6,95.4,13.319999999999999
CA-031,Kings County,2014,67.175,37.1,99.8,6.15
CA-031,Kings County,2015,65.64999999999999,35.6,96.5,4.58
CA-031,Kings County,2016,65.72500000000001,37.8,99.6,7.610000000000001
CA-031,Kings County,2017,65.61666666666666,35.6,100.9,8.209999999999999
CA-031,Kings County,2018,65.16666666666666,38.3,100.9,5.609999999999999
CA-031,Kings County,2019,64.30833333333335,39.6,98.5,9.69
CA-033,Lake County,2014,60.074999999999996,38.6,91.7,48.5
CA-033,Lake County,2015,59.93333333333334,35.2,88.2,25.360000000000003
CA-033,Lake County,2016,58.02500000000001,33.7,89.6,55.339999999999996
CA-033,Lake County,2017,58.508333333333326,34.3,92.5,56.99000000000001
CA-033,Lake County,2018,58.508333333333326,36.2,93.0,34.370000000000005
CA-033,Lake County,2019,57.350000000000016,32.4,89.3,60.94999999999999
CA-035,Lassen County,2014,50.11666666666667,23.9,88.7,20.300000000000004
CA-035,Lassen County,2015,49.74166666666667,22.2,83.7,17.23
CA-035,Lassen County,2016,48.51666666666667,19.0,86.2,23.629999999999995
CA-035,Lassen County,2017,48.28333333333333,19.0,87.7,28.47
CA-035,Lassen County,2018,48.03333333333334,18.6,88.2,18.880000000000003
CA-035,Lassen County,2019,46.62499999999999,18.4,84.7,25.57
CA-037,Los Angeles County,2014,64.825,42.7,90.0,10.319999999999999
CA-037,Los Angeles County,2015,64.05833333333335,38.1,90.9,7.109999999999999
CA-037,Los Angeles County,2016,63.74166666666667,40.6,90.5,12.59
CA-037,Los Angeles County,2017,64.10833333333333,39.7,91.9,13.689999999999996
CA-037,Los Angeles County,2018,63.49166666666667,40.8,93.3,10.79
CA-037,Los Angeles County,2019,61.05000000000001,36.5,90.0,23.400000000000002
CA-039,Madera County,2014,59.30833333333333,33.8,90.9,13.96
CA-039,Madera County,2015,58.38333333333333,29.8,89.0,14.419999999999998
CA-039,Madera County,2016,57.875,31.6,91.0,24.080000000000002
CA-039,Madera County,2017,57.800000000000004,31.3,92.7,29.76
CA-039,Madera County,2018,57.708333333333336,31.2,92.5,20.720000000000002
CA-039,Madera County,2019,56.24999999999999,30.3,89.0,25.3
CA-041,Marin County,2014,58.75833333333333,43.7,74.1,40.239999999999995
CA-041,Marin County,2015,58.32499999999999,43.1,76.8,15.93
CA-041,Marin County,2016,57.14166666666667,41.0,73.3,40.81
CA-041,Marin County,2017,57.50000000000001,41.5,76.8,45.85000000000001
CA-041,Marin County,2018,56.68333333333334,42.3,73.2,30.49
CA-041,Marin County,2019,56.900000000000006,41.3,76.0,46.7
CA-043,Mariposa County,2014,58.36666666666667,34.4,90.7,19.44
CA-043,Mariposa County,2015,57.5,28.5,88.7,20.0
CA-043,Mariposa County,2016,56.9,31.0,91.0,34.7
