state,county,area_land,area_water,longitude,latitude
37,017,2265887723,33010866,-78.5618005851556,34.612962431387714
37,167,1023370459,25242751,-80.25094297524807,35.31647742076924
39,153,1069181981,18958267,-81.53123078502448,41.12464733613517
42,113,1165338428,6617028,-76.51246590834994,41.44634737729836
48,459,1509910100,24878888,-94.93856968820029,32.73936343398808
48,049,2446120250,32375524,-98.99907224528239,31.774297550308706
45,021,1018732778,11714267,-81.61846243260727,35.05113357457054
01,043,1903073019,52422496,-86.86887948451806,34.13020194838883
54,023,1236390677,7545525,-79.19440517992734,39.103148168904724
46,055,4689282658,42449843,-101.53824564572666,44.294511414740974
55,061,886951858,1921336271,-87.61468385542776,44.5172745861812
18,049,954146352,7426335,-86.26252744907357,41.04699069739209
19,083,1474505075,1776735,-93.23654611336957,42.38353876780612
20,133,1480111173,16369480,-95.30682401494464,37.55827280459093
31,133,1116478182,4852361,-96.23705436662519,40.13141096396577
01,059,1641841406,32643981,-87.84289504522842,34.44235333569689
29,175,1250217892,13254191,-92.49713739897629,39.44007256883332
35,028,282827023,224479,-106.31349847145978,35.86631386252186
37,105,660607408,10725289,-79.17569361668129,35.47623146700579
39,137,1249783590,4544874,-84.13361110079946,41.020948891641176
45,039,1777452219,61132193,-81.11956240257629,34.39287073157413
48,021,2300370292,19079348,-97.31206354150797,30.103706994011958
55,113,3257216619,239883874,-91.14504926777592,45.87931905167708
48,233,2298408152,19507502,-101.35466431772778,35.840065744075694
55,031,3378102266,454243357,-91.91595767868824,46.43222284631814
48,095,2547914009,25740025,-99.86473037865471,31.32635933776124
51,065,743630414,10747025,-78.2771432854872,37.8415589225076
55,041,2626878508,83594186,-88.7708489245669,45.66678019162328
26,121,1305064357,2476380060,-86.15176712031656,43.29123859462292
27,005,3406054658,336952350,-95.67158144495224,46.9347939188385
40,077,1870096895,18296988,-95.2502911272851,34.8764565293475
22,073,1580920629,55305574,-92.15702192564305,32.47644431757602
15,005,31057603,105764468,-156.9583591678346,21.17882514945581
01,023,2365869835,19144469,-88.26564430465946,32.02227340808117
12,123,2702180641,489194665,-83.60443869223687,30.048474746604217
18,127,1082793402,268672610,-87.0684888785502,41.45986947007767
20,075,2580958328,2893322,-101.7921065991193,37.99978708873034
26,139,1459502408,2765830983,-85.9966845985495,42.95994030851138
26,101,1404616462,1912440723,-86.05626915946267,44.33352407274486
36,005,108908944,39688554,-73.86283007928552,40.852087304553386
40,025,4752113916,15923999,-102.51738849489003,36.74817177300971
38,019,3856393937,54384493,-98.46685242679808,48.772862112887566
38,095,2653593197,43823568,-99.24564264879177,48.68565744913209
05,145,2680852090,18293048,-91.74908898398084,35.25687841646292
13,081,706189044,21457002,-83.76789031173497,31.922996183233533
13,043,629520691,15018337,-82.07701372614243,32.40211467820403
18,015,964054632,7239102,-86.56198812383346,40.580783202244625
19,141,1484154162,447448,-95.62474481577263,43.083106732844435
20,123,1817632933,44979980,-98.20910881403141,39.393297917915476
17,023,1298695036,8796711,-87.78705622479117,39.3342578892051
24,047,1212861863,586815923,-75.33190011255365,38.21290662082259
26,019,828014438,1398245684,-86.01589360199573,44.63935704816143
31,135,2287828025,2840176,-101.65029418133629,40.850825251480266
20,189,1883595654,464936,-101.31194669757342,37.19228760610339
46,105,7434503230,50539948,-102.47555862200998,45.49049505531802
51,025,1466539956,8381933,-77.85934360464022,36.76366948757138
51,141,1250846143,7141128,-80.28656479553403,36.68016380113512
01,109,1740647518,2336975,-85.94149525070576,31.804150800764358
13,013,417082282,4909657,-83.71437348767992,33.99151528308025
18,125,865825919,17604088,-87.23574906604718,38.40112196584952
19,081,1478895049,5265568,-93.73454883656896,43.081784770093556
21,215,483607178,12792868,-85.3275149946871,38.0322410308335
26,087,1669484578,47274003,-83.22153148085913,43.090525063829965
27,009,1057483355,12286988,-93.99514135476288,45.69804958364134
27,007,6487155243,1426286994,-94.93732138731019,47.973735268119434
