state,county,county_name,state_name
01,001,autauga,alabama
01,003,baldwin,alabama
01,005,barbour,alabama
01,007,bibb,alabama
01,009,blount,alabama
01,011,bullock,alabama
01,013,butler,alabama
01,015,calhoun,alabama
01,017,chambers,alabama
01,019,cherokee,alabama
01,021,chilton,alabama
01,023,choctaw,alabama
01,025,clarke,alabama
01,027,clay,alabama
01,029,cleburne,alabama
01,031,coffee,alabama
01,033,colbert,alabama
01,035,conecuh,alabama
01,037,coosa,alabama
01,039,covington,alabama
01,041,crenshaw,alabama
01,043,cullman,alabama
01,045,dale,alabama
01,047,dallas,alabama
01,049,dekalb,alabama
01,051,elmore,alabama
01,053,escambia,alabama
01,055,etowah,alabama
01,057,fayette,alabama
01,059,franklin,alabama
01,061,geneva,alabama
01,063,greene,alabama
01,065,hale,alabama
01,067,henry,alabama
01,069,houston,alabama
01,071,jackson,alabama
01,073,jefferson,alabama
01,075,lamar,alabama
01,077,lauderdale,alabama
01,079,lawrence,alabama
01,081,lee,alabama
01,083,limestone,alabama
01,085,lowndes,alabama
01,087,macon,alabama
01,089,madison,alabama
01,091,marengo,alabama
01,093,marion,alabama
01,095,marshall,alabama
01,097,mobile,alabama
01,099,monroe,alabama
01,101,montgomery,alabama
01,103,morgan,alabama
01,105,perry,alabama
01,107,pickens,alabama
01,109,pike,alabama
01,111,randolph,alabama
01,113,russell,alabama
01,115,st. clair,alabama
01,117,shelby,alabama
01,119,sumter,alabama
01,121,talladega,alabama
01,123,tallapoosa,alabama
01,125,tuscaloosa,alabama
01,127,walker,alabama
01,129,washington,alabama
01,131,wilcox,alabama
01,133,winston,alabama
02,013,aleutians east ,alaska
02,016,aleutians west cens,alaska
02,020,anchorage munic,alaska
02,050,bethel cens,alaska
02,060,bristol bay ,alaska
02,068,denali ,alaska
02,070,dillingham cens,alaska
02,090,fairbanks north star ,alaska
02,100,haines ,alaska
02,105,hoonah-angoon cens,alaska
02,110,juneau city and ,alaska
02,122,kenai peninsula ,alaska
02,130,ketchikan gateway ,alaska
02,150,kodiak island ,alaska
02,158,kusilvak cens,alaska
02,164,lake and peninsula ,alaska
02,170,matanuska-susitna ,alaska
02,180,nome cens,alaska
02,185,north slope ,alaska
02,188,northwest arctic ,alaska
02,195,petersburg ,alaska
02,198,prince of wales-hyder cens,alaska
02,220,sitka city and ,alaska
02,230,skagway munic,alaska
02,240,southeast fairbanks cens,alaska
02,261,valdez-cordova cens,alaska
02,270,wade hampton cens,alaska
02,275,wrangell city and ,alaska
02,282,yakutat city and ,alaska
02,290,yukon-koyukuk cens,alaska
04,001,apache,arizona
04,003,cochise,arizona
04,005,coconino,arizona
04,007,gila,arizona
04,009,graham,arizona
04,011,greenlee,arizona
04,012,la paz,arizona
04,013,maricopa,arizona
04,015,mohave,arizona
04,017,navajo,arizona
04,019,pima,arizona
04,021,pinal,arizona
04,023,santa cruz,arizona
04,025,yavapai,arizona
04,027,yuma,arizona
05,001,arkansas,arkansas
05,003,ashley,arkansas
05,005,baxter,arkansas
05,007,benton,arkansas
05,009,boone,arkansas
05,011,bradley,arkansas
05,013,calhoun,arkansas
05,015,carroll,arkansas
05,017,chicot,arkansas
05,019,clark,arkansas
05,021,clay,arkansas
05,023,cleburne,arkansas
05,025,cleveland,arkansas
05,027,columbia,arkansas
05,029,conway,arkansas
05,031,craighead,arkansas
05,033,crawford,arkansas
05,035,crittenden,arkansas
05,037,cross,arkansas
05,039,dallas,arkansas
05,041,desha,arkansas
05,043,drew,arkansas
05,045,faulkner,arkansas
05,047,franklin,arkansas
05,049,fulton,arkansas
05,051,garland,arkansas
05,053,grant,arkansas
05,055,greene,arkansas
05,057,hempstead,arkansas
05,059,hot spring,arkansas
05,061,howard,arkansas
05,063,independence,arkansas
05,065,izard,arkansas
05,067,jackson,arkansas
05,069,jefferson,arkansas
05,071,johnson,arkansas
05,073,lafayette,arkansas
05,075,lawrence,arkansas
05,077,lee,arkansas
